x,y,genre
32.284218,8.999779,Dance/Electronic
22.433529,2.6681197,R&B
-42.091267,-13.852678,pop
-58.783306,-2.2190323,Dance/Electronic
-38.98508,-12.333471,hip hop
-13.673183,-12.670844,Dance/Electronic
-39.614887,-14.149685,Dance/Electronic
-14.779259,4.5322094,Dance/Electronic
-37.537,-8.641782,Dance/Electronic
29.7133,-0.61015767,Dance/Electronic
-19.502604,-12.322842,hip hop
63.44427,11.870447,pop
26.629396,12.102332,hip hop
-41.22455,-13.426067,Dance/Electronic
-35.40535,-14.470295,Dance/Electronic
22.800337,-7.6405354,hip hop
30.945864,-0.13584675,pop
29.696589,-12.326442,Dance/Electronic
28.7488,-5.095744,Dance/Electronic
-39.384274,-11.176662,pop
29.43301,9.382632,Dance/Electronic
59.4638,14.036061,Dance/Electronic
-16.551966,-4.5253263,pop
31.754984,9.901144,Dance/Electronic
25.18288,-8.912296,hip hop
29.334291,-6.6163454,pop
-15.160144,3.0073555,pop
-39.053505,-21.18784,hip hop
-60.748943,2.2472591,pop
21.757391,13.215132,hip hop
26.684027,1.1701195,Dance/Electronic
-38.123314,-19.813461,pop
-13.515208,-1.8696072,hip hop
29.564528,-7.7128367,Dance/Electronic
29.471903,16.52496,pop
21.504108,13.26439,hip hop
-9.121149,-0.43716004,hip hop
19.689316,8.04478,hip hop
-37.661613,-22.696987,R&B
29.465176,-1.2508925,rock
63.554203,10.905141,pop
26.435398,13.1692,Dance/Electronic
-24.080414,-7.6927743,Dance/Electronic
-14.870658,-2.5102563,Dance/Electronic
59.2392,14.497906,Dance/Electronic
61.490494,12.796468,hip hop
-38.71376,-12.838856,Dance/Electronic
-18.535822,-7.7443485,hip hop
-33.144936,-12.62852,hip hop
26.717342,7.911897,hip hop
28.529228,-7.1422973,Dance/Electronic
29.61804,-6.4480515,hip hop
20.848158,1.4519337,pop
30.567703,-11.694924,pop
-24.812943,-7.2523413,rock
28.69506,12.109548,hip hop
-24.335798,-9.995262,Dance/Electronic
26.633896,8.415542,hip hop
-34.162033,-13.369043,Dance/Electronic
29.916712,-12.878889,pop
26.612535,2.6865716,hip hop
61.548477,10.987367,latin
59.54327,15.395143,pop
-62.51426,2.9730332,rock
20.19791,-4.1115966,hip hop
-16.616152,-4.9426217,hip hop
-42.005833,-12.407478,latin
-62.808628,4.053009,pop
-66.627464,5.649481,R&B
-63.560345,3.5026858,pop
-60.881283,0.7724493,Dance/Electronic
-62.09542,-2.3506484,hip hop
29.228455,-12.699784,latin
-41.890385,-12.7748,latin
-32.6948,-12.7297535,hip hop
-59.331825,-2.7055116,hip hop
-35.365242,-22.460466,hip hop
-16.083658,-15.131015,Dance/Electronic
-21.366238,-6.1180844,pop
28.103338,-11.102067,Dance/Electronic
-41.007607,-20.163025,rock
-60.03409,-1.2929329,rock
64.5664,8.843982,pop
-16.54149,-13.782655,pop
-62.813488,-0.061196744,latin
22.69842,11.095565,pop
-61.802868,2.8915179,pop
21.421066,-3.0216208,pop
28.728655,7.907038,pop
29.046335,16.941364,pop
-14.069784,-3.3412404,latin
30.686943,-13.397455,Dance/Electronic
28.21656,-6.599939,Dance/Electronic
29.760738,9.833266,pop
29.603254,-16.176704,hip hop
-11.629902,1.0163329,hip hop
-13.855977,-5.2215595,hip hop
64.65857,7.3326945,pop
62.58095,10.56921,Dance/Electronic
28.762787,6.380858,Dance/Electronic
-40.710083,-17.827383,Dance/Electronic
60.75132,11.817352,pop
-65.3992,4.841356,Dance/Electronic
-34.870026,-13.84423,pop
59.384346,13.262267,hip hop
25.43983,11.467559,latin
19.611912,-5.676731,hip hop
64.45454,5.79983,rock
28.52942,-7.142288,Dance/Electronic
-12.085026,-9.220287,R&B
21.26215,-9.116066,hip hop
-42.534046,-13.156533,hip hop
27.146881,-7.6281357,rock
21.428352,-9.142244,hip hop
-43.79968,-13.85949,hip hop
-66.01494,5.3300405,Dance/Electronic
31.08649,5.713918,Dance/Electronic
-10.281521,-4.7319164,hip hop
24.543182,-6.618207,pop
28.502726,-15.902153,Dance/Electronic
-62.408398,-1.1836247,hip hop
-13.051747,-6.1982784,rock
28.25597,16.137619,Dance/Electronic
-38.286526,-21.848778,hip hop
-43.692425,-12.768005,latin
26.500671,11.7250805,Dance/Electronic
19.648329,1.3387864,hip hop
-16.310686,-14.109843,rock
27.402454,-12.3412075,R&B
57.549686,13.910285,latin
23.978731,12.083562,pop
21.347816,-6.346795,Dance/Electronic
-36.442646,-13.097516,R&B
